,City,region,Res_Comm,mkt_type,Quradate,National_exp,Alabama_exp,Sales_exp,Inventory_exp,Price_exp,Credit_exp
10588,Athens,North_Huntsville-Decatur-Florence,Residential,Rural,2011-07-15,2.0,4.0,4.0,3.0,3.0,2.0
590,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,3.0
9765,Jasper,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,4.0,4.0,4.0,5.0,4.0,3.0
1241,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,4.0,3.0,4.0
11308,Fairhope,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,4.0,3.0,3.0
5611,Orange Beach,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,4.0,3.0,2.0
6396,gadsden,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,2.0,2.0,2.0,2.0,2.0,1.0
5524,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,3.0,3.0,4.0,4.0,3.0,3.0
3880,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,2.0,2.0,3.0
7333,Florence,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,3.0,3.0,3.0
10248,Decatur,North_Huntsville-Decatur-Florence,Residential,Rural,2011-07-15,3.0,3.0,3.0,2.0,2.0,2.0
7330,Fairhope,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,2.0,3.0,4.0,3.0,2.0,4.0
6390,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,5.0,5.0,5.0,5.0,5.0,5.0
10752,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,2.0,2.0,2.0,2.0,2.0,2.0
565,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,2.0,1.0,2.0,2.0,3.0,1.0
5621,Sulligent,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-07-15,3.0,3.0,3.0,3.0,2.0,2.0
5624,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,2.0,3.0
10790,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,3.0
13437,Saraland,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,2.0,3.0,3.0,2.0,3.0,4.0
3897,Huntsville,North_Huntsville-Decatur-Florence,Commercial,Suburban_Urban,2011-07-15,3.0,3.0,4.0,3.0,3.0,3.0
7309,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,2.0,2.0,2.0,2.0,2.0
10239,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,2.0,2.0,2.0,2.0,2.0,2.0
5504,Lexington,North_Huntsville-Decatur-Florence,Residential,Rural,2011-07-15,2.0,2.0,3.0,3.0,3.0,3.0
11914,Mobile,South_Mobile-Baldwin,Residential,Rural,2011-07-15,3.0,4.0,3.0,2.0,2.0,3.0
7289,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,2.0,2.0,3.0,3.0,2.0,2.0
12841,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,4.0,4.0,4.0,3.0,3.0,4.0
11946,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,2.0,2.0,2.0,2.0,3.0
11949,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,4.0,3.0,3.0,3.0,3.0
3855,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,4.0,4.0,3.0
